Player,From,To,Fee,Window,Club
Joao Pedro,Brighton,Chelsea,£60m,Summer 2025,Brighton
Simon Adingra,Brighton,Sunderland,£20.5m,Summer 2025,Brighton
Pervis Estupiñán,Brighton,AC Milan,£17.4m,Summer 2025,Brighton
Julio Enciso,Brighton,Strasbourg,£10m,Summer 2025,Brighton
Caylan Vickers,Brighton,Wigan,Loan,January 2026,Brighton
Matt O'Riley,Brighton,Marseille,Loan,January 2026,Brighton
Evan Ferguson,Brighton,Roma,Loan,Summer 2025,Brighton
Odel Offiah,Brighton,Preston,£1.5m,Summer 2025,Brighton
Valentin Barco,Brighton,Strasbourg,Undisclosed,Summer 2025,Brighton
Amario Cozier-Duberry,Brighton,Bolton,Loan,Summer 2025,Brighton
Kjell Scherpen,Brighton,Union SG,Undisclosed,Summer 2025,Brighton
Eiran Cashin,Brighton,Birmingham,Loan,Summer 2025,Brighton
Kamari Doyle,Brighton,Reading,Loan,Summer 2025,Brighton
Carl Rushworth,Brighton,Coventry,Loan,Summer 2025,Brighton
Andrew Moran,Brighton,LA Galaxy,Loan,Summer 2025,Brighton
Malick Yalcouyé,Brighton,Swansea,Loan,Summer 2025,Brighton
Abdallah Sima,Brighton,Lens,£4m,Summer 2025,Brighton
Tariq Lamptey,Brighton,Fiorentina,£6m,Summer 2025,Brighton
Igor Julio,Brighton,West Ham,Loan,Summer 2025,Brighton
Matt O'Riley,Brighton,Marseille,Loan,Summer 2025,Brighton
Facundo Buonanotte,Brighton,Chelsea,Loan,Summer 2025,Brighton
Jeremy Sarmiento,Brighton,Cremonese,Loan,Summer 2025,Brighton

Kyle Walker,Man City,Burnley,£5m,Summer 2025,Burnley
Loum Tchaouna,Lazio,Burnley,£12m,Summer 2025,Burnley
Axel Tuanzebe,Ipswich Town,Burnley,Free,Summer 2025,Burnley
Quilindschy Hartman,Feyenoord,Burnley,Undisclosed,Summer 2025,Burnley
Bashir Humphreys,Chelsea,Burnley,£10m,Summer 2025,Burnley
Jaidon Anthony,Bournemouth,Burnley,£8m,Summer 2025,Burnley
Marcus Edwards,Sporting CP,Burnley,£8.5m,Summer 2025,Burnley
Zian Flemming,Millwall,Burnley,£7m,Summer 2025,Burnley
Max Weiss,Karlsruher,Burnley,£4.2m,Summer 2025,Burnley
Jacob Bruun Larsen,Stuttgart,Burnley,Undisclosed,Summer 2025,Burnley
Lesley Ugochukwu,Chelsea,Burnley,£23m,Summer 2025,Burnley
Martin Dúbravka,Newcastle,Burnley,Undisclosed,Summer 2025,Burnley
Armando Broja,Chelsea,Burnley,£20m,Summer 2025,Burnley
James Trafford,Burnley,Man City,£31m,Summer 2025,Burnley
Dara Costelloe,Burnley,Wigan,Undisclosed,Summer 2025,Burnley
Josh Brownhill,Burnley,Released,Released,Summer 2025,Burnley
Nathan Redmond,Burnley,Released,Released,Summer 2025,Burnley
Jonjo Shelvey,Burnley,Released,Released,Summer 2025,Burnley
CJ Egan-Riley,Burnley,Marseille,Free,Summer 2025,Burnley
Andreas Hountondji,Burnley,St. Pauli,Loan,Summer 2025,Burnley
Sam Walker,Burnley,Crewe,Loan,Summer 2025,Burnley
Owen Dodgson,Burnley,Stockport,Loan,Summer 2025,Burnley
Joe Bauress,Burnley,Accrington,Loan,Summer 2025,Burnley
Han-Noah Massengo,Burnley,Augsburg,Undisclosed,Summer 2025,Burnley
Joe Westley,Burnley,Dundee,Undisclosed,Summer 2025,Burnley

João Pedro,Brighton,Chelsea,£60m,Summer 2025,Chelsea
Estevão Willian,Palmeiras,Chelsea,£29m,Summer 2025,Chelsea
Dário Essugo,Sporting CP,Chelsea,£18.5m,Summer 2025,Chelsea
Kendry Páez,Independiente del Valle,Chelsea,£17.3m,Summer 2025,Chelsea
Mamadou Sarr,Strasbourg,Chelsea,£12m,Summer 2025,Chelsea
Jamie Gittens,Dortmund,Chelsea,£51.5m,Summer 2025,Chelsea
Liam Delap,Ipswich Town,Chelsea,£30m,Summer 2025,Chelsea
Jorrel Hato,Ajax,Chelsea,£38.5m,Summer 2025,Chelsea
Alejandro Garnacho,Man United,Chelsea,£40m,Summer 2025,Chelsea
Kevin De Bruyne,Released (Man City),Manchester United,£70m,Summer 2025,Manchester United
Matheus Cunha,Wolves,Manchester United,£62.5m,Summer 2025,Manchester United
Bryan Mbeumo,Brentford,Manchester United,£65m,Summer 2025,Manchester United
Enzo Kana-Biyik,Le Havre,Manchester United,Free,Summer 2025,Manchester United
Benjamin Šeško,RB Leipzig,Manchester United,£73.6m,Summer 2025,Manchester United
Senne Lammens,Antwerp,Manchester United,Undisclosed,Summer 2025,Manchester United
Alejandro Garnacho,Manchester United,Chelsea,£40m,Summer 2025,Manchester United
Victor Lindelöf,Manchester United,Aston Villa,Free,Summer 2025,Manchester United

Walter Benítez,PSV Eindhoven,Crystal Palace,Free,Summer 2025,Crystal Palace
Borna Sosa,Ajax,Crystal Palace,£3m,Summer 2025,Crystal Palace
Yeremy Pino,Villarreal,Crystal Palace,£26m,Summer 2025,Crystal Palace
Jaydee Canabaught,Toulouse,Crystal Palace,£17.3m,Summer 2025,Crystal Palace
Jørgen Strand Larsen,Wolves,Crystal Palace,£48m,January 2026,Crystal Palace
Evann Guessand,Aston Villa,Crystal Palace,Loan,January 2026,Crystal Palace
Brennan Johnson,Tottenham,Crystal Palace,£35m,January 2026,Crystal Palace
Eberechi Eze,Crystal Palace,Arsenal,£67.5m,Summer 2025,Crystal Palace
Jeffrey Schlupp,Crystal Palace,Norwich,Free,Summer 2025,Crystal Palace
Sean Grehan,Crystal Palace,Doncaster,Undisclosed,Summer 2025,Crystal Palace
Joel Ward,Crystal Palace,Released,Free,Summer 2025,Crystal Palace
Louie Moulden,Crystal Palace,Norwich,Free,Summer 2025,Crystal Palace
Owen Goodman,Crystal Palace,Huddersfield,Loan,Summer 2025,Crystal Palace
Killian Phillips,Crystal Palace,St Mirren,Undisclosed,Summer 2025,Crystal Palace
Joe Whitworth,Crystal Palace,Exeter,Loan,Summer 2025,Crystal Palace
Danny Imray,Crystal Palace,Blackpool,Loan,Summer 2025,Crystal Palace
Danny Imray,Crystal Palace,Blackpool,Loan,January 2026,Crystal Palace
Odsonne Edouard,Crystal Palace,Lens,Undisclosed,Summer 2025,Crystal Palace
